Name,Category,Style,Star,Long,Lat
Royal Plaza on Scotts,Hotel,Centrally Located|Green,5.0,103.8319667,1.3069695
Rucksack Inn @ Lavender,Hotel,Budget,2.0,103.8603635,1.3143551
Shangri-La Singapore,Hotel,Park View|Residential Neighborhood,5.0,103.8264894,1.310965
Sheraton Towers Singapore,Hotel,City View|Business,5.0,103.8364761,1.3118244
Singapore Marriott Tang Plaza Hotel,Hotel,Green|Centrally Located,5.0,103.8329675,1.3052151
Snooze Inn Dunlop Street,Hotel,Budget,2.0,103.8540374,1.3044918
ST Residences Novena,Hotel,Mid-range,4.0,103.8476837,1.318529
ST Signature Bugis Beach,Hotel,,2.0,103.856638,1.2972645
ST Signature Chinatown,Hotel,,3.0,103.8452678,1.2817896
ST Signature Tanjong Pagar,Hotel,Trendy,3.0,103.84433,1.278634
Strand Hotel,Hotel,Mid-range|Family,3.0,103.8496704,1.2986475
Studio M Hotel,Hotel,Trendy|Mid-range,4.0,103.8391747,1.2908153
Summer View Hotel,Hotel,Centrally Located|Modern,3.0,103.8523367,1.3016207
Swissotel The Stamford Singapore,Hotel,Family|Harbor View,5.0,103.8535076,1.2932771
Tai Hoe Hotel,Hotel,Centrally Located|Family,2.0,103.8565345,1.3103447
Thanksgiving Serviced Residence,Hotel,,3.0,103.8408185,1.2960573
The Atlas Station,Hotel,Quirky Hotels|Trendy,2.0,103.8578014,1.3156072
The Capitol Kempinski Hotel Singapore,Hotel,Romantic|Historic Hotel,5.0,103.8511765,1.2937977
The Clan Hotel by Far East Hospitality,Hotel,Business|City View,5.0,103.8482839,1.2826642
The Fullerton Bay Hotel Singapore,Hotel,Business|Romantic,5.0,103.8534216,1.2831722
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,103.8530671,1.2863532
The Great Madras,Hotel,,2.0,103.8530964,1.3050071
The Hive Singapore Hostel,Hotel,Budget,2.0,103.8587447,1.3157216
The Hotel Telegraph,Hotel,Business,5.0,103.8497276,1.2799728
The Inn at Temple Street,Hotel,Centrally Located|Classic,3.0,103.8437979,1.2832521
The Noble Hotel,Hotel,,2.0,103.8599134,1.3138256
The Porcelain Hotel,Hotel,Centrally Located|Modern,3.0,103.8441722,1.2842504
The Quay Hotel Singapore,Hotel,,2.5,103.8482128,1.2870774
The Seacare Hotel,Hotel,Modern,4.0,103.8398544,1.2877097
"The Serangoon House,Singapore,a Tribute Portfolio Hotel",Hotel,,2.0,103.854763,1.3113528
Value Hotel Balestier,Hotel,Mid-range|Modern,2.0,103.8531832,1.321241
Value Hotel Nice,Hotel,Modern,2.0,103.8525003,1.3233284
Value Hotel Thomson,Hotel,,3.0,103.842759,1.326838
Village Hotel Albert Court by Far East Hospitality,Hotel,Mid-range|Charming,3.0,103.8509176,1.3041249
Village Hotel Bugis by Far East Hospitality,Hotel,Mid-range|City View,4.0,103.8578797,1.3023045
Village Hotel Changi by Far East Hospitality,Hotel,Mid-range|Family,4.0,103.9860557,1.3904644
Village Hotel Katong by Far East Hospitality,Hotel,Value|Quiet,4.0,103.9029408,1.3037177
Village Residence Robertson Quay by Far East Hospitality,Hotel,Green|Great View,4.0,103.8429997,1.2885397
VIP Hotel,Hotel,Residential Neighborhood|Quiet,3.0,103.832208,1.3158402
"voco Orchard Singapore,an IHG Hotel",Hotel,City View|Family,5.0,103.8293246,1.3059187
Wanderloft Capsule Hostel,Hotel,Budget,1.0,103.8483804,1.2873258
YMCA One Orchard,Hotel,Centrally Located|Family,3.0,103.8478381,1.2975363
York Hotel Singapore,Hotel,Quiet|Mid-range,4.0,103.8355304,1.30718
Yotel Air Singapore Changi Airport,Hotel,,3.0,103.9915308,1.3644202
YOTEL Singapore,Hotel,Trendy|Modern,4.0,103.8312429,1.3064411
YWCA Fort Canning,Hotel,Park View|Centrally Located,3.0,103.8449317,1.2975524
ZEN Hostel Clarke Quay,Hotel,Centrally Located|Budget,1.0,103.8471,1.2875
ZEN Rooms Farrer Park,Hotel,,3.0,103.8597062,1.3131713
Alaturka,Eatery,Restaurants|Halal|Vegetarian Friendly|Vegan Options,4.0,103.8577803,1.301179
Arteastiq Bistro & Bar,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8429491,1.299511
Artichoke,Eatery,Restaurants|Vegetarian Friendly|Vegan Options|Gluten Free Options,4.0,103.8497575,1.2995512
