Name,Category,Style,Star,lat,lon
Singapore Marriott Tang Plaza Hotel,Hotel,Green|Centrally Located,5.0,1.3052151,103.8329675
Snooze Inn Dunlop Street,Hotel,Budget,2.0,1.3044918,103.8540374
ST Residences Novena,Hotel,Mid-range,4.0,1.318529,103.8476837
ST Signature Bugis Beach,Hotel,,2.0,1.2972645,103.856638
ST Signature Chinatown,Hotel,,3.0,1.2817896,103.8452678
ST Signature Tanjong Pagar,Hotel,Trendy,3.0,1.278634,103.84433
Strand Hotel,Hotel,Mid-range|Family,3.0,1.2986475,103.8496704
Studio M Hotel,Hotel,Trendy|Mid-range,4.0,1.2908153,103.8391747
Summer View Hotel,Hotel,Centrally Located|Modern,3.0,1.3016207,103.8523367
Swissotel The Stamford Singapore,Hotel,Family|Harbor View,5.0,1.2932771,103.8535076
Tai Hoe Hotel,Hotel,Centrally Located|Family,2.0,1.3103447,103.8565345
Thanksgiving Serviced Residence,Hotel,,3.0,1.2960573,103.8408185
The Atlas Station,Hotel,Quirky Hotels|Trendy,2.0,1.3156072,103.8578014
The Capitol Kempinski Hotel Singapore,Hotel,Romantic|Historic Hotel,5.0,1.2937977,103.8511765
The Clan Hotel by Far East Hospitality,Hotel,Business|City View,5.0,1.2826642,103.8482839
The Fullerton Bay Hotel Singapore,Hotel,Business|Romantic,5.0,1.2831722,103.8534216
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,1.2863532,103.8530671
The Great Madras,Hotel,,2.0,1.3050071,103.8530964
The Hive Singapore Hostel,Hotel,Budget,2.0,1.3157216,103.8587447
The Hotel Telegraph,Hotel,Business,5.0,1.2799728,103.8497276
The Inn at Temple Street,Hotel,Centrally Located|Classic,3.0,1.2832521,103.8437979
The Noble Hotel,Hotel,,2.0,1.3138256,103.8599134
The Porcelain Hotel,Hotel,Centrally Located|Modern,3.0,1.2842504,103.8441722
The Quay Hotel Singapore,Hotel,,2.5,1.2870774,103.8482128
The Seacare Hotel,Hotel,Modern,4.0,1.2877097,103.8398544
"The Serangoon House,Singapore,a Tribute Portfolio Hotel",Hotel,,2.0,1.3113528,103.854763
Value Hotel Balestier,Hotel,Mid-range|Modern,2.0,1.321241,103.8531832
Value Hotel Nice,Hotel,Modern,2.0,1.3233284,103.8525003
Value Hotel Thomson,Hotel,,3.0,1.326838,103.842759
Village Hotel Albert Court by Far East Hospitality,Hotel,Mid-range|Charming,3.0,1.2885397,103.8429997
Village Hotel Bugis by Far East Hospitality,Hotel,Mid-range|City View,4.0,1.3023045,103.8578797
Village Hotel Changi by Far East Hospitality,Hotel,Mid-range|Family,4.0,1.3904644,103.9860557
Village Hotel Katong by Far East Hospitality,Hotel,Value|Quiet,4.0,1.3037177,103.9029408
Village Residence Robertson Quay by Far East Hospitality,Hotel,Green|Great View,4.0,1.2885397,103.8429997
VIP Hotel,Hotel,Residential Neighborhood|Quiet,3.0,34.10358,-118.339789
"voco Orchard Singapore,an IHG Hotel",Hotel,City View|Family,5.0,1.3059187,103.8293246
Wanderloft Capsule Hostel,Hotel,Budget,1.0,1.2873258,103.8483804
YMCA One Orchard,Hotel,Centrally Located|Family,3.0,1.2975363,103.8478381
York Hotel Singapore,Hotel,Quiet|Mid-range,4.0,1.30718,103.8355304
Yotel Air Singapore Changi Airport,Hotel,,3.0,1.3596839,103.9903161
YOTEL Singapore,Hotel,Trendy|Modern,4.0,1.3064411,103.8312429
YWCA Fort Canning,Hotel,Park View|Centrally Located,3.0,1.2975524,103.8449317
ZEN Hostel Clarke Quay,Hotel,Centrally Located|Budget,1.0,1.2875,103.8471
ZEN Rooms Farrer Park,Hotel,,3.0,1.3131713,103.8597062
French Fold Telok Ayer,Eatery,Restaurants,5.0 ,1.2800708,103.8471877
