Name,Category,Style,Star,Date,Rating,ReviewTitle,Review
Sandpiper Hotel,Hotel,,2.0,Feb-23,5,"Location, restaurant nearby & good room with a view",Good room to stay for a cheap price. Good room service & nice behaviour from the staff.. A good location for bangladeshi and Indians to stay. So many south indian restaurant near the hotel. Can shop from the tekka centre near by.
Sandpiper Hotel,Hotel,,2.0,Feb-23,5,Thank you for a lovely stay,Easy to find the hotel through the websites its always on the top and near to the airport net station is just 1 minute away the desk incharge MR ROHIT is very helpful and always available 24 hours place is good so many restaurants available to eat Indian and Chinese and South Indian food major shopping centres are all nearby and sentosa is not far away from here overall very good experience Thank you
Sandpiper Hotel,Hotel,,2.0,Feb-23,5,Stay was excellent.,Good experience..loved to stay in sandpiper hotel Singapore. Rohit and Jasmin always helpful with all needs. Well coke back again. All the restaurants and MRT are close by. You can go anytime when ever you are hungry. Best place in the world to stay.
Sandpiper Hotel,Hotel,,2.0,Feb-23,5,"Holiday Stay in Little India, Singapore Sandpiper Hotel.","Accommodations were exactly what was needed. Location is in the middle of Little India with lots of restaurants, activities and shopping. All transportation 2 blocks away Rocher Station. Perfect for using all forms of transportation. Awesome customer service! Mr Rohit was always very accommodating to me and my husband needs as well as flight delays. We were flying separately and both our flights arrived super late at different times. Rohit was very attentive to all our needs and helpful with information on festivals being conducted which help enhance making our trip superb! Jasmin was always available to answer our questions thru the airbnb platform and in a timely manner with no wait! Awesome hotel, awesome food and an awesome 2 week Holiday!!! ðŸ˜€"
Sandpiper Hotel,Hotel,,2.0,Feb-23,4,Excellent service and customer care,"The hotel rooms are clean and comfortable. Rohit when out of the way to help me as was exhausted, he provided the room early and upgraded me so that I could have my insulin refrigerated. Thank you Rohit, you are a great asset to Sandpiper"
Sandpiper Hotel,Hotel,,2.0,Jan-23,5,Ex,"Rohit,Jasmin very good staff good experience. Stay was really comfortable. We enjoyed staying here. Love it. We'll come back again. Love the surrounding here alot of food options, mrt,busses easily can get."
Sandpiper Hotel,Hotel,,2.0,Jan-23,5,Nice Hotel,Very clean hotel with very professional staff especially Mr. Rohit and Ms. Jasmin. Staff are very friendly and cooperative. Location of the hotel is very good. Indian restaurants are very near to hotel.
Sandpiper Hotel,Hotel,,2.0,Jan-23,5,Very convenient hotel,"Sandpiper Hotel very helpfully accommodated me during a long daytime stopover in Singapore. They allowed me the option to check in early in the morning and check out in the early evening at a reasonable price. The hotel was clean and quiet. It is very well located close to Jalan Besar MRT with many restaurants and shops close by. Overall, a great choice."
Sandpiper Hotel,Hotel,,2.0,Aug-22,3,Average budget hotel,The room is very small. Amenities are not that good. The bathroom has a bad smell when we checked in. The only good thing about this place is it near to the good restaurants and near the train station. It is cheap but don't expect much about this hotel.
Sandpiper Hotel,Hotel,,2.0,Jun-22,1,A backpacker hotel at best!,"We stayed here for 3 nights over a weekend in Singapore. I have learned my lesson--when you book a hotel in an expensive city (i.e., Singapore and Hong Kong), don't try to cheap it out. Pay the money for a decent hotel! The reviews were pretty good, but you have to keep in mind the kind of clientele that are booking this place. We thought it seemed like a backpacker hotel. The room was tiny, but that was not the problem. The bed was probably the most uncomfortable I have ever tried to sleep on. There was really no mattress--it was like a naugahyde sofa with a sheet over it (see pic below). We waited for our room to be cleaned for almost 40 minutes before we could check in--this at 4:00 in the afternoon when checkout is at 11:00. There was no remote for the TV--one ofâ€¦"
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,Superb,"The crew and staff are very accomodating. Nice and super friendly. Assistance is 100% excellent. Service friendly. The food is ok as well. We enjoyed our time dining. Excellent job performance. Good deal and worth the money. Not our first,"
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Dec-22,5,luxurious :),"I would rate Fullerton Hotel as 5 out of 5. As soon as we arrived at the hotel, the bell hop greeted us and took care of our luggages and assisted us to the check-in desk. Check in was a breeze. I really love the scent in this hotel but i forgot to ask what it was as i wanted to know if they sell diffusers of the same scent. We spent the Christmas holidays in Singapore and Fullerton was well decorated for the holiday. A very tall Xmas tree made of their iconic stuff bears, among other beautiful Xmas decors they have. The breakfast is a buffet style and very generous with options. I peronally love the TWG tea! Our room is on the high floor facing the courtyard but still nice! bathroom is marble, toilet bowl is heated seat. Luxury toiletries too! I had a very good sleep! Try the in-room dining service too, elegant presentation and amazing menu. I highly recommend Fullerton as it is also accessible to the metro, amazing views of Marina Bay and close to food places. I will definitely stay here again."
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,"Fantastic location, beautiful hotel",Beautiful hotel in a great location. We had a lovely 4 night stay in a courtyard view room. We were really impressed with the pool and pool towels. Breakfast is definitely worth paying the extra for as a lot of variety. Would definitely choose The Fullerton hotel again when we return to Singapore
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,"Classic, well-run, beautifully renovated and appointed hotel with a perfect location in the heart of Singapore.","We enjoyed a wonderful four nights at this classic, beautifully renovated, maintained and staffed hotel. There would be little that could improve our stay.    I originally booked a Heritage Room, but upon checking in I discovered these rooms have balconies with very high walls that you cannot see over. Therefore these rooms have no views. I asked about paying for an upgrade and was offered a Marina Bay view room for $100 a night more. It was so well worth the extra money. The room had a great view of the Marina Bay Sands hotel and the balcony was covered by a roof, so we could enjoy the view and stay dry on wet days.    The room itself - while not big - was one of the best designed hotel rooms Iâ€™ve ever stayed in. The bed, bathroom, closets, and desk area were very well thought out, were very well appointed and were decorated very tastefully. The bed linens and bathroom towels were very comfortable and of high quality. Shower water pressure was excellent, and the air conditioning was very effective (an important factor to comfort in Singapore.)    The service throughout the hotel was competent and accommodating without being annoying. The breakfast was superb, with many choices and attentive waitstaff. The pool was well-designed with an interesting perch above Clarke Quay.    I primarily chose the Fullerton because it is so well-located, and the location didnâ€™t disappoint. Most everything is a short stroll or a few metro stops away. Unlike many other luxury hotels in Singapore, the Fullertonâ€™s location makes you feel like you are staying in the very heart of the city. It is also nice to walk into such an iconic, historic part of Singapore at the end of each day.    My only slight complaint (and it was quite slight,) was about the room lighting. The lighting was beautiful, and each area had well-focused lights, but some could not be operated independently of the others. The only lamps that could be turned on and off independently were the bedside lamps and the desk light. If I wanted to turn on lights in the foyer/closet I had to turn on a switch that lit up the entire room. One odd misstep in a hotel where everything else was perfectly designed.    Thanks to everyone at The Fullerton for a great stay. We certainly hope to be back soon."
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,The best choice to a perfect staycation in SG!,"Hotel staffs greeted and immediately helped us with our luggages. Very warm welcome from the front desk staffs and checkin was instantaneous. We were also given a complimentary ice cream tag (1 scoop daily) and Postmaster Bear keychain for my young 3YO todd. Such thoughtful, gentle and kind gestures towards young children. Thank you Angel & Terry! Your commitment to giving us a great experience staying with Fullerton Hotel has been extraordinary and a memorable one.    Cleanliness is one of the very best amongst other hotels from, in room, concierge, dining hall, utensils etc. We enjoyed the Straits Club Breakfast, Afternoon Tea and Cocktail very much during our entire stay. It was exclusive and private with great selection of breakfast and tea to kickstart the day. PS, they serve very delicious Nasi Lemak Kukus sambal! Beautiful Koi fishes for young Todds to watch. Also, location is superb, at boat quay with tons of good food/drink choices that comes with beautiful sunset view. Short walking distance to Merlion.    Made the best choice to stay with The Fullerton Hotel. We would definitely be back again!"
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,Gets better with each stay,"There are many great hotels in the world - some even claim to be the best. But I firmly believe for a 5 star hotel - it doesnâ€™t get any better than The Fullerton.    From arrival to departure - the experience is amazing. This was our 4th stay and it never disappoints and I actually believe it keeps getting better and better.    The rooms are amazing (even the entry level premier courtyard rooms) the pool is a place of relaxation. Sall the pool attendant was great - as were the guest service staff who facilitated a late check out and left us a bottle of champagne in our room for being a returning guests (my partner also shares his surname with the hotel so is always treated like a king!)    The location is top notch - walking distance to everything. Food, shops and major attractions.    Book your stay here - you wonâ€™t be disappointed. The only regret I will have is that you didnâ€™t stay longer."
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,Wonderful Stay at The Fullerton Hotel,"My husband and stayed at The Fullerton Hotel for a little respite between a holiday in Japan and returning to our lives at home. We decided to upgrade our stay and pay for access to the Straits Lounge for the duration of our stay and we were glad we made that choice. The food and staff were beyond excellent and, in our opinion was better value than going out regularly in Singapore.  The service at the hotel was exceptional and a special thank you to all the staff at the Straits Lounge who we had contact with. A special thank you to Lucy and Ryan who made our stay that much more enjoyable!  The rooms were amazing, plenty of space (especially after coming from Japan!) and easy access to sights and places in Singapore.  Thank you Fullerton Hotel for a memorable trip!"
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Feb-23,5,Beautiful hotel and great customer service,Best hotel we have ever stayed in. We asked for a quiet room and never heard a sound. Perfect bed and lovely thick fluffy towels. Location is ideal. Amazing choice for breakfast. Service was excellent and staff were very helpful.
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,Wonderful stay,We had a fabulous stay on the 6th floor with a marina Bay view. On arrival we were greeted by very helpful and attentive staff. We were treated to a complimentary bottle of wine as we were celebrating our anniversary. The rooms were spotless and everything we needed was at hand . We were within easy reach of hawkers markets and restaurants  The hotels own restaurant and afternoon tea area near the check was delightful with lovely cakes etc  Breakfast was a well served buffet type catering for all needs  Concierge were also extremely helpful and patient with no issues getting a taxi when required  I would thoroughly recommend this hotel as it lives up too its high rating.
The Fullerton Hotel Singapore,Hotel,Value|Historic Hotel,5.0,Mar-23,5,6 out of 5 Stars!,"We have stayed in many 5star hotels in Singapore including The Ritz-Carlton, The Westin, Mandarin Oriental, Kempinski etc. but our stay at The Fullerton Hotel really surpassed our expectations. The staff made all the difference. We had the awesome pleasure of checking in with Shazwan and seeing how we had our 3 year old son with us, he made sure that he was well taken care of, including kids amenities in the room without asking and even gave him a Fullerton Bear key chain which made his day! He also took the time to interact with our son and was patient with him.    Since it was not as busy at the front desk, he offered to send us to our room and gave us a brief orientation. The room was amazing and luxurious, with a great view to boot. He left after making sure we were settled and did not rush us. He was personable yet still professional. It was a great balance which is hard to find among Singapore's hotel staff as usually they are fairly ""sterile"" (professional in interaction but somewhat cold).    On another occasion when Shazwan saw us from the front desk, he advised that there were tours we could sign up for and that our son could enjoy the koi feeding session later in the day (which he did!).    We enjoyed the Straits Club with Warren and Crystal being very attentive to our needs on the many times we were there, and they even remembered our drink preferences. Although we could have breakfast at The Town Restaurant, we liked our experience enough to forgo the wider breakfast spread for a more homely experience in The Straits Club.    We had lunch at The Town Restaurant and dinner at La Brasserie over at The Fullerton Bay Hotel, but unfortunately our experience there did not match the level of hospitality that Shazwan provided.    All in all, we were in awe of our stay at The Fullerton Hotel and would definitely be back!"
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Oct-19,5,The fried chicken was amazing but didn't like kimbap. Visited far before coronavirus,The fried chicken was delicious especially with the sauce. I'm craving it right now! The kimbap wasn't nice but I don't think I like kimbap altogether. Visited way before the coronavirus
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Oct-19,4,Clementi Mall Outlet,"Took awhile for food to arrive, as there were big takeaway orders. But chicken tasted fresh and crispy, fries (seasalt flavour is surprisingly good!) are good too. Have never tried their noodle dishes, but seems pretty popular too. Will try that next time."
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Oct-19,5,Best Korean chicken,They served the best Korean chicken Iâ€™ve tasted so far. Thumbs up and will be back for more. But my tolerance level for spicy food is very low so didnâ€™t really enjoyed the spicy seafood ramen
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Oct-19,5,Review on jinjja chicken,"fast service, clean and very kpop-ish atmosphere ! Loving the vibe here. Employees are great as they constantly smile which gives a better positive place to dine in. Would definitely recommend this to other people especially the mozzarella sticks!"
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Oct-19,5,Dinner,Had the best beef kimbap and chicken wingssss!!! Recommend my friend to come here and try it himself and it was all good(((:
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,5,I am a BIG fan,Love the yangnyeom jinjja wings to the max. Can never get enough if it. Addictive!! Worth the price as u can buy it in a set with rice.
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,5,Definitely worth coming!,Not the first time i come back to eat the Jinjja drumstick! It is really very nice! The staff is really nice and helpful too! 10/10 would recommend!
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,5,Clementi Mall outlet,"good environment to chill, nice songs, food is delicious and service was good!! food came within 5 minutes"
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,5,Clementi Mall outlet,"Nice food!!! Good songs, vibe is good as well. Overall really good environment. Not the cheapest but still affordable"
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,4,Yummy,"The food is good, place is cool, a great place to enjoy happy nice food. Love the ice cream, happy food!!!"
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,4,Nice bimbap & cheese sticks,2nd time eating. Ate bimbap & cheese sticks. especially cheese sticks are hot & yummy! Will come back for third time.
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Sep-19,5,Clementi Jinjie Chicken,The food very nice I often come this Clementi outlet and the staff very kind cheerful place very clean
JINJJA Chicken,Eatery,Restaurants|Fast Food|Halal,4.5,Aug-19,5,JINJIA CHICKEN,Food was great!! Loved the jinjia wings!!!!!! Highly recommended to friends who loves Korea food!!!!! ðŸ‘ðŸ¼
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Dec-22,5,Best destinations for Arabic food,"This is the best destination for Arabic food in Singapore and the ambience, Service was really awesome."
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Nov-22,5,Recommended,Yummy food and good service Alfahm 8.5-/10 Shavarma- 8.0/10 Manthi - 7/10 Service- 9/10 Ambience- 8.5/10
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Jul-22,5,Excellent,Visited sandam restaurant marmaris last night one of the best restaurants in marmaris if not the best food is excellent staff are helpful and friendly good atmosphere
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Jun-22,1,How did they ever get any positive review?,"Service didn't exist. most dishes i wanted to order, weren't available. Dishes we got, were no good either. Beverages were served after we finished eating. Never again."
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Sep-20,4,Amazing service and food quality,Service was excellent and accommodating. Lamb shank was juicy and tender. Kunafeh didnt disappoint. Recommended!
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Aug-20,5,Great food!,"Great chicken, make sure to not order too much as it is quite heavy. Arabic bread is also great. Recommended!"
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Aug-20,5,Dubai Food,One of the place in our tiny island where you find good arabic food. Grill chicken mandi and chicken shawarma is too good.. ðŸ˜ very good price also
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Jul-20,5,Amazing,What a Great response from the Managing teamðŸ¤© The Food and beverage just amazing really enjoyedðŸ¤©ðŸ‘Œ
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Jul-20,5,Awesome food and customer service ðŸ‘,"The food was great and the customer sevice was excellent. Didn't have the wast time for get the item that we order. Once received, it was magnificent."
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Jul-20,1,.,Lots of varieties of arabic food . food is nice especially the grilled chicken. Very neat and hygiene. Service staff also very attentive
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Feb-20,5,Highly Recommend,"I came because of its popularity. The food is nice especially the grilled chicken, reasonable price. Highly recommend!"
Marmaris Restaurant,Eatery,Restaurants|Fast Food|Halal|Vegetarian Friendly|Vegan Options,5.0,Feb-20,5,Awesome food!!,"One of the best restaurant, which I tried in Singapore. Good Arabian food at affordable price. Very neat and hygiene. Service staff also very attentive & welcoming. Highly recommend."
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Jan-23,3,Convenient to our hotel.,We were just looking for a late evening snack to bring to our hotel! Yay to McDonalds for the most predictable easy inexpensive snack!
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Jan-23,4,First time trying something new,"First time trying their prosperity burger, it was fabulous. Tried their highly raved mcspicy too, it was a little too spicy for my liking but it was flavourful and juicy. Hope it can be sold worldwide."
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Mar-21,5,McDonald's Kit Kat McFlurry! #mcdonalds #kitkat #mcflurry,McDonald's Kit Kat McFlurry: so smooth creamy rich with kit kat greatness. So delicious and tasty! #mcdonalds #mac #maplesyrup #mcgriddles #sausage #chocolate #pie #kitkat #mcflurry #filetofish #dexperience #singapore #tastetest #niceornot #kallang
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Oct-19,3,Nice,The service was very friendly and helpful The main problem is that the portions are small so we needed to reorder
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Apr-19,4,Was in a hurry and needed to eat quickly,This McDonald;'s was really busy when we were there but they moved rather quickly. The food was up to their standards and was nice to get service so fast.
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Jul-17,4,Nice place,Good location. Good and fast service of the staff. The taste of the food was also good. Big place so crowd is divided.
McDonald's,Eatery,Quick Bites|Fast Food,3.5,Mar-17,1,Fast food,"I don't understand how can McDonald be in here. Horrible burgers, dead meat..... Eat here when every where is closed and you are short of cash."
