,Name,Category,Style,Star,Date,Rating,ReviewTitle,Review,Sentiment
16,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jun-20,5,Great service. Chill location.,Great service. Chill location. Will definitely come back soon! Great service by Rosanna who served us. Cheers!,positive
17,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Dec-19,5,Christmas 2019,"From start to finish an excellent experience. Malou and her staff, Karen, Rhea and Nicolas provided attentive service with glasses and cleared with a smile and efficiency. Food and wine pairing exceptional, would highly recommend.",positive
18,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Dec-19,5,Tasty scones,"A very nice place to spend your afternoon. The food is tasty , not too overwhelming. The scones is very tasty too. Will visit again.",positive
19,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Dec-19,5,Great food and great service,"We celebrated our friend's birthday today and they serves us very well! We love the food and champagne! We like to thank the following ladies for making our celebration a happy and jolly - Kristine, Keren & Malou! We would love to go back again.",positive
20,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Oct-19,5,Good place for dinner and high tea,I love this place. Come here often for their buffet dinner ( more than their high tea). I love the ambience. The staff is friendly. And the serving is generous.,positive
21,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Oct-19,5,Fresh oyster and decent tea time,"I made reservation in Saturday afternoon. I worried to crowded for lots of people in this restaurant, but there quiet mood They provide fresh oyster and other hot and cold foods, and various kinds of tea",positive
22,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Oct-19,5,Great quality food and desserts especially,"All their desserts were really great and their moscato tea is a must try! Although the spread is limited, the quality of all the dishes were top notch! Definitely a must try!",positive
23,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Sep-19,3,A good place for high tea,A quiet place for high tea in the afternoon at 10 Scotts is a good proposition. You could see different walks of people passing you on the corridor while enjoying your cup of tea.,positive
24,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Sep-19,5,Fabulous meal.,"10Scotts offers an amazing buffet at a very reasonable price. It was a culinary delight. The table service was excellent, unintrusive and the staff was very helpful with extra choices. A must-do for hotel guests.",positive
25,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Sep-19,5,Ever Good,10 Scott's never fails. The menu is changed regularly. Interesting concept of a buffet. And of course the impeccable service.,positive
26,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Sep-19,5,Very cozy place for lunch,Good side of small lunch buffet and High tea~. Lovely place for gathering and chatting with friends. Also good service provided.,positive
27,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,Jun-19,5,Lovely afternoon escape,"A small but well curated buffet tea (that works well for late lunch or early dinner), high quality food and civilised surroundings. Service unobtrusive but not outstanding. Website stated complimentary parking above $100, but that meant one coupon",positive
28,10 Scotts,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Gluten Free Options']",4.0,May-19,5,Ever good,Service at 10 Scotts is impeccable. The crew never fails to remember Regular customers. Thank you. The spread is great though I missed the oysters.,positive
29,8 Korean BBQ,Eatery,['Restaurants'],4.0,Feb-23,5,Will visit again,"Food is good, delicious, not expensive, waitress are nice, service us very good, kimchi is the most important food in Korea, their kimchi is delicious",positive
30,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jan-23,5,Best Korean BBQ !,We had a fabulous dinner at 8 Korean BBQ (Shaw Center)! Food was great and service was immaculate! Good for people like us who are lazy to grill the meat ourselves 😁. Will definitely go back again!,positive
31,8 Korean BBQ,Eatery,['Restaurants'],4.0,Nov-22,5,8 Korean Bbq,The quality of food (beef and pork) is great. The staff who cooks for us is friendly. Good dining place to visit even with young children.,positive
32,8 Korean BBQ,Eatery,['Restaurants'],4.0,Nov-22,4,8 Korean BBQ,I and my wife took our BBQ dinner on 16/11 and it was recommended by our daughter. The food is ok but we like the atmosphere.,positive
33,8 Korean BBQ,Eatery,['Restaurants'],4.0,Nov-22,3,BBQ lunch,"Meat did not seem sufficiently marinated, not flavourful and has a chewy bite. The pork belly and pork joal we ordered had porky smell.",positive
34,8 Korean BBQ,Eatery,['Restaurants'],4.0,Aug-22,3,Just a normal,"only 90min we could have a seat thus, all service crew seems very rush and no time to think about thier service it self. I won't recommend for purpose of business dinner but maybe with friends",negative
35,8 Korean BBQ,Eatery,['Restaurants'],4.0,Apr-22,5,Ladies Night,First time dinning there. The service is very good and prompt! Food is beyond our expectations! Price is reasonable! Booking via Chope is so easy and convenient!,positive
36,8 Korean BBQ,Eatery,['Restaurants'],4.0,Mar-22,4,Too short time for good food,The current 1.5hr dining time is not sufficient for a decent meal as the servers are always around to cook for you. Would be good if the dining time is at least 2hrs.,negative
37,8 Korean BBQ,Eatery,['Restaurants'],4.0,Nov-21,5,Dinner with friends,"Excellent atmosphere, great food and friendly crew. Be back for sure again with family and friends. Special thanks to Levi and the other crew",positive
38,8 Korean BBQ,Eatery,['Restaurants'],4.0,Nov-21,4,Good service and food,"Meat was of good quality, stew was slightly underwhelming as it had a strong taste of MSG. Overall would recommend as meat flavours were great and serving sizes pleasant.",positive
39,8 Korean BBQ,Eatery,['Restaurants'],4.0,Oct-21,4,Good food,"Staff did their best but good if they learn to say ""excuse me"" while patrons having conversation instead of barging in and explaining the food",positive
40,8 Korean BBQ,Eatery,['Restaurants'],4.0,Sep-21,5,Awesome food and environment,The reservation was seamless and the entire dining experience is great. Really love their 4 color pork belly and wagyu beef.,positive
41,8 Korean BBQ,Eatery,['Restaurants'],4.0,Aug-21,4,Very nice,Service is excellent. Food is really nice. Can have stew and bbq stoves together at the same time unlike places that have only 1 stove at a time,positive
42,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jul-21,4,Food good but 90 min dining time only,Food is fantastic service as well but 90 minutes no sufficient for two of us to finish the beer. Was given reminder 15 min before 90 min,positive
43,8 Korean BBQ,Eatery,['Restaurants'],4.0,Dec-20,5,Great food and great service,"Definitely will revisit again as the food were fresh and yummy! They will assist you to BBQ on the spot , free from hassle yet enjoy the BBQ food :)",positive
44,8 Korean BBQ,Eatery,['Restaurants'],4.0,Nov-20,3,Family dinner,"4 colors pork belly so so, tried other Korean BBQ much better in terms of taste and quality. For the same price, can get better one elsewhere",negative
45,8 Korean BBQ,Eatery,['Restaurants'],4.0,Sep-20,5,Great service from Chris,Had a wonderful dining experience with the family here at 8. The short rib and the atlantic salmon was really good and there was all round great service. We especially enjoyed the service from Chris our chef for the day!,positive
46,8 Korean BBQ,Eatery,['Restaurants'],4.0,Aug-20,2,"Not worth it, food was average, service too",Was told that I can’t enjoy burple’s one for one deal because I did a reservation under chope and they can’t cancel our reservation even though the restaurant was empty with only one table occupied.,positive
47,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jul-20,3,Ok. Not bad.,"Too bad we couldn't try the signaure pork as my partner was Muslim. Beef was nice! Ordered seafood which was ordinary. Kimchi pancake was SUPER YUMMY & crispy! But, super oily too. Would be perfect if not so oily.",positive
48,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jul-20,2,Unlikely to visit again,Unable to use burple app even though they indicated that it was available for use. Food is terrible.,negative
49,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jan-20,5,Service,Friday dinner typical crowd. However the staff managed well and were polite and courteous. I really appreciate this kinda attitude instead of being brushed off despite being busy. They served non mediocre kimchi 👏🏼,positive
50,8 Korean BBQ,Eatery,['Restaurants'],4.0,Dec-19,5,Great food and service,"Great food, service and love the environment. The menu had what we needed. The waiters bbq the food for you and prep it on the table. There is a fan mechanism on top of the table to suck in the smoke.",positive
51,8 Korean BBQ,Eatery,['Restaurants'],4.0,Dec-19,5,"Great service , nice environment with well ventilation",The location was well ventilated so that u do not as bad as you can imagine. You can sit back and relax as the staff are so friendly n they cooked for you. Will visit again,positive
52,8 Korean BBQ,Eatery,['Restaurants'],4.0,Oct-19,5,Dinner at 8 Korean BBQ,Food was great and service was excellent. Nice atmosphere and all of us had a good time. Will definitely go back again,positive
53,8 Korean BBQ,Eatery,['Restaurants'],4.0,Oct-19,4,Nice ambience but Kimchi a bit sour...,Nice ambience but Kimchi a bit sour. Good serving of the 4 flavours of pork and tasty army stew with Soju.,positive
54,8 Korean BBQ,Eatery,['Restaurants'],4.0,Oct-19,5,Excellent Service,Excellent Service even when we are using chope vouchers They look after each table needs very well Very attentive Provide apron Nice food Friendly staff,positive
55,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jul-19,4,Nice experience,Meat was fresh and the service is good as they help us to grill the meat. Side dishes are refillable too~,positive
56,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jun-19,5,Excellent,"Very authentic Korean BBQ with good service, nice staff and their signature pork bellies are a must!",positive
57,8 Korean BBQ,Eatery,['Restaurants'],4.0,May-19,5,Value for money!,"Great ambience, good service! There are different sets of flavoured barbecued pork that you can choose from. Would recommend this to anyone looking for Korean Bbq.",positive
58,8 Korean BBQ,Eatery,['Restaurants'],4.0,May-19,1,First and last visit,Could not taste the favouring of the meat. The truffle steam egg doesn't taste any truffle at all. The seafood beanpaste soup is very diluted. Service staff was not very friendly and helpful. Quite upset to have choose this place for my birthday dinner.,positive
59,8 Korean BBQ,Eatery,['Restaurants'],4.0,Mar-19,5,8 Korean BBQ (Central Clark Quay),"Quality hot plate meat with great tenderness. Outdoor seating is perfect, great view, great breeze, great food. Will definitely visit again.",positive
60,8 Korean BBQ,Eatery,['Restaurants'],4.0,Feb-19,4,Reunion dinner,Meat portions seem smaller than those at Clarke Quay but service was better than the Clarke Quay branch.,positive
61,8 Korean BBQ,Eatery,['Restaurants'],4.0,Jan-19,3,A little disappointed,Third time eating at the restaurant. Didn’t visit the restaurant for awhile. The standard in term of taste has drop. Isn’t as delicious as before. Overall service and all is still good. The outlet has also shrunk in size.,positive
62,8 Korean BBQ,Eatery,['Restaurants'],4.0,Dec-18,1,Tasteless and not work the price,Short rib was chewy ans tasteless. pork collar was hard. For the price I wasn’t expecting to be served and made to eat off plastic. Won’t be going back or recommending this place.,negative
63,8 Korean BBQ,Eatery,['Restaurants'],4.0,Mar-18,5,Mouthwatering korean bbq!!,The best korean bbq we've ever tasted! And we really want to come back again to Singapore because of this.The taste was really unforgetable(no joke!). The staffs are pleasant and accomodating also. Dreaming for the next trip to Singapore😛😛😛,positive
64,8 Korean BBQ,Eatery,['Restaurants'],4.0,Oct-18,5,Excellent Food and Service,"Meat was fresh and well seasoned, except the side dishes were a little too sweet. It is a pity that rice was not provided. Cooking was done by their staff, they were friendly and attentive.",positive
65,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,May-22,5,Amazing,The food was so delicious and definitely worth the price tag. Our third visit and it didn’t disappoint.,positive
66,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,May-22,5,Excellent authentic Italian food,"Second visit, and enjoyed it as much as the first. Pastas are very good - still working through the menu! Portions are a good size - not to small, but not too big.",positive
67,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,May-22,5,Reminds me of authentic Italian restaurant when I travelled in Italy.. simply love the food it’s was exceptional good,"The breads, pasta n risotto is freshly made n impressively flavourful & tasty. The pistachio gelato is exceptional gd! I will be back to try the pizza!",positive
68,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Apr-22,5,"Great service, excellent food!",Most authentic and affordable Italian food in town! The service staff was also attentive and friendly!,positive
69,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Feb-22,5,Fantastic !,Wong who served us was very helpful. We ordered all he had recommended. Food & wine was so good. Will visit again.,positive
70,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Jan-22,5,Great service by Wong!,Thanks Wong and team for the wonderful lunch service and attention to detail! Really great place for any gathering and celebrations as the food is delicious too. Special shout out for Wong for being extremely knowledgeable about the food and recommendations!,positive
71,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Dec-21,5,Christmas Eve Dinner,"Made booking for dinner for two. Delicious food, good ambience and great service. Will definitely return for another meal!",positive
72,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Nov-21,5,Hidden gem in Bukit Timah,"Our favorite Italian restaurant in Singapore. Wide selection in the menu, great food, as good as it gets.",positive
73,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Nov-21,5,Excellent Taste,"We enjoyed the ambience, food taste and prompt attention given by the restaurant. The reservation was ease. The desert was very tasty. The waiting time was appropriate.",positive
74,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-21,5,Delicious Italian Dishes,The dinner was great. The ambiance was nice too. The food came very timely and the service of the staff was excellent,positive
75,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Sep-21,5,La Famiglia,"Love this local go to. Friendly and attentive wait staff, great food and wine. We always feel like we are with friends we dine at Acqua e Farina.",positive
76,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Sep-21,5,Great Italian food,"Comforting Italian food, nice place for family dining, serves good dessert platter & offers good variety of antipasti",positive
77,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Apr-21,5,Great Italian food and service!,"The food was, as always, excellent while service was prompt and top-notch, despite having a full-house.",positive
78,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Apr-21,5,Great Osteria Gem in Rail Mall,Ambiance was peaceful and cosy. The service was attentive and I had no problem feeling comfortable almost immediately. Definitely comfort food for the soul.,positive
79,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Mar-21,5,Good service,"Made a reservation via Chope for a family member’s birthday dinner celebration. Delivered as per request for a little surprise cake, also came with delicious donuts - must try! Thank you for the hospitality.",positive
80,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Mar-21,4,Real taste of Italian food,On a pricey side but the food are great. The homemade pasta is a must try. Service are excellent. Kudos to Jhane for your great service,positive
81,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Jan-21,5,A wonderful find just blocks away from home,I live on Cashew Rd and pass this restaurant every day to & from work. A friend invited me here for dinner and will definitely dine there again. Food & wine was fab and service was superb. A treasure in my 'hood!,positive
82,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Dec-20,5,Awesome Italian Food !,Our all time favorite Italian restaurant. Superb food & desserts. Best service. Love their weekly specials.,positive
83,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Nov-20,5,Ottimo,Excellent quality of raw materials and impeccable service. I think I ate the best carbonara in Singapore. I will definitely be back.,positive
84,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-20,5,A Time to Remember,"Superb pizza truffle - heavenly fragrance, light crust, cheese and mushrooms. Beef was exquisite - tender, tasty. Great yummy risotto!",positive
85,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-20,4,Casual dinner,"Excellent authentic Italian cuisine run by owner Antonio n chef Roberto. Service is excellent, especially from this lady Jane. No doubt my all time favorite rest.",positive
86,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-20,5,Amazing Service with the most Authentic Italian food!,"Amazing and warm service recieved every time we are there. Very accommodating and friendly staff who's attentive to our needs. Authentic Italian food we've had so far in Spore, especially the pizzas! Feel satisfied with every single visit. Will come for more!!",positive
87,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-20,1,Terrible service,"We had booked a table for 8:15 p.m. on Friday but after we arrived on time there was no table for us, the employees were rude, and the place was packed with no space between tables.",negative
88,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-20,1,Bad service,Will not recommend to anyone. There are so many other choices of good Italian restaurants with much better service in Singapore.,negative
89,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-20,5,The best Italian in Singapore.,"It is like been transported to Italy. Service, food and atmosphere is like a traditional trattoria. Worth a trip anytime of the week.",positive
90,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Feb-20,4,Value for money,The chef/owner never fails to disappoint me .. True Italian pasta and pizza. Jane is very good in her service and remembering her guests even after my long absence. Will return soon.,positive
91,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Jan-20,5,Dinner at Acqua e Farina,"We visit this restaurant quite frequently because of its location, it’s fantastic service and friendly atmosphere. We also love the food ... from its starters to desserts. Will continue to eat whenever we can.",positive
92,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Dec-19,5,Daily Specials,"We loved the Hokkaido scallops pasta on the menu specials last night, topped with fish roe, and delightfully paired with white wine. Excellent service as always, and complimentary dessert again from the manager/owner.",positive
93,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-19,5,Finally a good Italian in SG,The food is good ! Portions are small though 25-30 SGD per dish on AVG The staff is excellent and caring,positive
94,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-19,4,Good food & Tiramisu 😊,"We had home made ravioli , pizza and the suggestion of the day and everything was very good , no italian restaurant without ending with a Tiramisu which was very good ! They have a little seating area outside also .",positive
95,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-19,4,Love the dessert platter!,Food was good! Squid ink pasta is nice! Portion just right. The cheese based pizza not that cheesy though.,positive
96,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Sep-19,5,Found a gem at the west side !!,"Nice ambience for a date night, price a little pricey but food was delicious is worth it!! Thankful for all the staff helping out to make my cousin’s birthday a surprise one :) u guys was awesome!!",positive
97,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Aug-19,5,Very good food but pricey,"We had 2 appetizers, a pasta and a boat pizza which cost us $111+ The food was very fresh and felt homemade but too expensive to make it a regular place to eat.",positive
98,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Jun-19,5,Good service and Good food,Both Chef Roberto and Chef Antonio and team always impress us with their food and service. We became regulars as a result of that. Always feel welcoming whenever we dine there and constantly updated of their weekly specials. Small place but cozy enough.,positive
99,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,May-19,4,dinner,had the pizza and dessert platter. was served some bread to start. pizza is really good. easily one of the best i had eaten.,positive
100,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Jan-19,5,Rustic Italian fare,"Cosy, unassuming restaurant that serves up mean pastas! Seafood stock was rich, amazing; pasta al dente perfect. Service was attentive and friendly. Ambience: quiet and welcoming. Fair number of regulars of various party sizes, speaks to their consistency and popularity. Definitely worth a visit!",positive
101,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Apr-19,5,Small restaurant with great food,"I was given the round table as per request. The food was delicious, especially the truffle pizza which is a must try.",positive
102,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Mar-19,5,Best steak I ever had!,Have been to Acqua e Farina for years even when they were called Galbiati! They surprise and surpass my expectations everytime!,positive
103,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Nov-18,5,Satisfied dinner !,"I’m their regular now, the food was so great! I really can’t find the texture of their pasta else where, I just love it! Oh yes, not forgetting their yummy Truffle pizza..",positive
104,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-18,5,Weekly Specials....,Last two Saturdays we have ordered 2 of the 3 weekly specials.....truly one week specials but they have been amazing Have been eating through the pizzas.....the spag bol is the best / traditional Ive had in Singapore Have to try if you like traditional italian,positive
105,Acqua e Farina,Eatery,"['Restaurants', 'Vegetarian Friendly', 'Vegan Options']",4.5,Oct-18,5,Where Good Italian food can be found.,"Food is good, Staffs are friendly. Me and company enjoyed our meals very much. One of my friends in particular enjoys the ambient and feels that he should bring his family for meals in the future. Also, the service was excellent. Thank you.",positive
106,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Jan-23,4,Return Visit,Returned to Alaturka for lunch. Had a good experience as per previous visit. The food is good and the place is pleasant.,positive
107,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Feb-23,5,Fantastic food and experience,This was our second trip as a family and Alaturka did not disappoint. The food was absolutely delicious - can’t wait to go back!,positive
108,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Feb-23,5,Good food,Excellent food and service. Environment can get slightly noisy when the restaurant is full. Charming decor. Overall an excellent experience.,positive
109,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Jan-23,5,Business lunch,"Pleasant alfresco table, shaded, cool despite a sunny day. Had an enjoyable business lunch. Both appetisers, main courses and desserts were delicious.",positive
110,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Jan-23,1,Lousy food no taste at all. We had the mezzo platter Portions were very small tiny scoop of dips and the bread was dry,Lousy food. No Taste . Mezze platter was really bad . The dips were like one teaspoon scoop horrible.,negative
111,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Nov-22,5,Great food and services,"Great food and wine, food portion was just nice. Grilled meat portion for 2 were well marinated Kunefe dessert was a wow factor for us 4 ladies. Some tables celebrate birthday and was amazed by the song they played.",positive
112,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Oct-22,5,Best Turkish Restaurant in Singapore!,"Dined in here, loved the Lamb chops and kunefe, to die for!! Better to come with friends! The service is warm and accommodating, they are very helpful specially for first time customers",positive
113,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Sep-22,5,Great find!,"Superb food and service. Every dishes are great but we extremely happy with the lava bread with sesame, and the Lahmacun even though we chose vege only. We will be back for sure.",positive
114,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Mar-22,4,Mar'2022 checking out Arab St area,Good food and good service. I've been there some time ago and they have done a bit of renovation but still retain the arm cosy atmosphere.,negative
115,Alaturka,Eatery,"['Restaurants', 'Halal', 'Vegetarian Friendly', 'Vegan Options']",4.0,Feb-22,5,Great dinner,"Ordered the hünkârbeğendi, kunefe and ayran. Food was delicious and the atmosphere was cosy. I highly recommend Alaturka and would love to visit it again!",positive
